Region	PostRegion	PostName
SC	AB	Aberdeen
LO	AL	St Albans
MI	B	Birmingham
SW	BA	Bath
NW	BB	Blackburn
YO	BD	Bradford
SW	BH	Bournemouth
NW	BL	Bolton
SE	BN	Brighton
LO	BR	Bromley
SW	BS	Bristol
IR	BT	Northern Ireland
NW	CA	Carlisle
EA	CB	Cambridge
WA	CF	Cardiff
NW	CH	Chester
EA	CM	Chelmsford
EA	CO	Colchester
LO	CR	Croydon
SE	CT	Canterbury
MI	CV	Coventry
NW	CW	Crewe
LO	DA	Dartford
SC	DD	Dundee
EM	DE	Derby
SC	DG	Dumfries
NE	DH	Durham
NE	DL	Darlington
YO	DN	Doncaster
SW	DT	Dorchester
MI	DY	Dudley
LO	E	London East
LO	EC	London East Central
SC	EH	Edinburgh
LO	EN	Enfield
SW	EX	Exeter
SC	FK	Falkirk
NW	FY	Blackpool
SC	G	Glasgow
SW	GL	Gloucester
SE	GU	Guildford
LO	HA	Harrow
YO	HD	Huddersfield
YO	HG	Harrogate
LO	HP	Hemel Hempstead
MI	HR	Hereford
SC	HS	Outer Hebrides
YO	HU	Hull
YO	HX	Halifax
LO	IG	Ilford
EA	IP	Ipswich
SC	IV	Inverness
SC	KA	Kilmarnock
LO	KT	Kingston upon Thames
SC	KW	Kirkwall
SC	KY	Kirkcaldy
NW	L	Liverpool
NW	LA	Lancaster
WA	LD	Llandrindod Wells
EM	LE	Leicester
WA	LL	Llandudno
EM	LN	Lincoln
YO	LS	Leeds
EA	LU	Luton
NW	M	Manchester
SE	ME	Rochester
EA	MK	Milton Keynes
SC	ML	Motherwell
LO	N	London North
NE	NE	Newcastle upon Tyne
EM	NG	Nottingham
EM	NN	Northampton
WA	NP	Newport
EA	NR	Norwich
LO	NW	London Northwest
NW	OL	Oldham
SE	OX	Oxford
SC	PA	Paisley
EA	PE	Peterborough
SC	PH	Perth
SW	PL	Plymouth
SE	PO	Portsmouth
NW	PR	Preston
SE	RG	Reading
LO	RH	Redhill
LO	RM	Romford
YO	S	Sheffield
WA	SA	Swansea
LO	SE	London Southeast
EA	SG	Stevenage
NW	SK	Stockport
SE	SL	Slough
LO	SM	Sutton
SW	SN	Swindon
SE	SO	Southampton
SW	SP	Salisbury
NE	SR	Sunderland
EA	SS	Southend-on-Sea
MI	ST	Stoke-on-Trent
LO	SW	London Southwest
MI	SY	Shrewsbury
SW	TA	Taunton
SC	TD	Galashiels
MI	TF	Telford
SE	TN	Tonbridge
SW	TQ	Torquay
SW	TR	Truro
NE	TS	Cleveland
LO	TW	Twickenham
LO	UB	Southall
LO	W	London West
NW	WA	Warrington
LO	WC	London West Central
LO	WD	Watford
YO	WF	Wakefield
NW	WN	Wigan
MI	WR	Worcester
MI	WS	Walsall
MI	WV	Wolverhampton
YO	YO	York
SC	ZE	Lerwick Zetland
